Mot-clé original;Label_91;ID_91;Source_91;Score_91
Measurements;measurement;https://ark.frantiq.fr/ark:/26678/pcrtvf0mpf0kwr;PACTOLS_SUJETS;95.7
homosapiens;Homo sapiens;https://ark.frantiq.fr/ark:/26678/pcrt4zBhISqAvt;PACTOLS_SUJETS;95.7
measurements;measurement;https://ark.frantiq.fr/ark:/26678/pcrtvf0mpf0kwr;PACTOLS_SUJETS;95.7
Agricultural practices.;agricultural practice;https://ark.frantiq.fr/ark:/26678/pcrtPMnyBFScKQ;PACTOLS_SUJETS;95.5
agricultural practicies;agricultural practice;https://ark.frantiq.fr/ark:/26678/pcrtPMnyBFScKQ;PACTOLS_SUJETS;95.5
Spéctrométrie de masse;spectrométrie de masse;https://ark.frantiq.fr/ark:/26678/pcrtJM6rFSQ84T;PACTOLS_SUJETS;95.5
Methodolgy;methodology;https://ark.frantiq.fr/ark:/26678/pcrtdUvEkSeyqH;PACTOLS_SUJETS;95.2
Embankments;embankment;https://ark.frantiq.fr/ark:/26678/pcrtSaNDeLvKzS;PACTOLS_SUJETS;95.2
amendements;amendement;https://ark.frantiq.fr/ark:/26678/pcrtlLaVIacMMt;PACTOLS_SUJETS;95.2
Transcripts;transcript;https://ark.frantiq.fr/ark:/26678/pcrtx8s30626cq;PACTOLS_SUJETS;95.2
crop yields;crop yield;https://ark.frantiq.fr/ark:/26678/pcrtqAso9mnL56;PACTOLS_SUJETS;95.2
methodolgy;methodology;https://ark.frantiq.fr/ark:/26678/pcrtdUvEkSeyqH;PACTOLS_SUJETS;95.2
pProcessing;processing;https://ark.frantiq.fr/ark:/26678/pcrt10kHDSy3qs;PACTOLS_SUJETS;95.2
radiolarian;radiolaria;https://ark.frantiq.fr/ark:/26678/pcrtjgtrwctzqc;PACTOLS_SUJETS;95.2
01. ENVIRONNEMENT;environnement;https://ark.frantiq.fr/ark:/26678/pcrt9Y2UzXnNSo;PACTOLS_SUJETS;95.0
07. SCIENCES HUMAINES ET SOCIALES;sciences humaines et sociales;https://ark.frantiq.fr/ark:/26678/pcrtB87XLJs3pM;PACTOLS_SUJETS;95.0
A01 Agriculture;agriculture;https://ark.frantiq.fr/ark:/26678/pcrtuDGmtyntVb;PACTOLS_SUJETS;95.0
Fagus sylvatica L;Fagus sylvatica;https://ark.frantiq.fr/ark:/26678/pcrttknrrfxbnb;PACTOLS_SUJETS;95.0
E51 - Population rurale;population rurale;https://ark.frantiq.fr/ark:/26678/pcrtav4GgUBmvU;PACTOLS_SUJETS;95.0
ECO economics;Economics;https://ark.frantiq.fr/ark:/26678/pcrtUMWShh4AcZ;PACTOLS_SUJETS;95.0
SHS géographie humaine;géographie humaine;https://ark.frantiq.fr/ark:/26678/pcrtZRnIMwdJOD;PACTOLS_SUJETS;95.0
SSH economics;Economics;https://ark.frantiq.fr/ark:/26678/pcrtUMWShh4AcZ;PACTOLS_SUJETS;95.0
Web application;application;https://ark.frantiq.fr/ark:/26678/pcrtfdq3v9ucyd;PACTOLS_SUJETS;95.0
X-ray Diffraction XRD;X-ray diffraction;https://ark.frantiq.fr/ark:/26678/pcrtAXp46dQPL8;PACTOLS_SUJETS;95.0
application web;application;https://ark.frantiq.fr/ark:/26678/pcrtfdq3v9ucyd;PACTOLS_SUJETS;95.0
functional data analysis;functional analysis;https://ark.frantiq.fr/ark:/26678/pcrtBThnmzqTT1;PACTOLS_SUJETS;95.0
U70 - Sciences humaines et sociales;sciences humaines et sociales;https://ark.frantiq.fr/ark:/26678/pcrtB87XLJs3pM;PACTOLS_SUJETS;95.0
mobile data collection;data collection;https://ark.frantiq.fr/ark:/26678/pcrtIq8AvOPlPV;PACTOLS_SUJETS;95.0
web application;application;https://ark.frantiq.fr/ark:/26678/pcrtfdq3v9ucyd;PACTOLS_SUJETS;95.0
spatial organization patterns;spatial organization;https://ark.frantiq.fr/ark:/26678/pcrt3mBlLdPeGK;PACTOLS_SUJETS;95.0
deleafing;de-leafing;https://ark.frantiq.fr/ark:/26678/pcrtmXwSfJwwIE;PACTOLS_SUJETS;94.7
geophysic;geophysics;https://ark.frantiq.fr/ark:/26678/pcrt4kT9Gzua0B;PACTOLS_SUJETS;94.7
susscrofa;Sus scrofa;https://ark.frantiq.fr/ark:/26678/pcrtRmvjGjzyOO;PACTOLS_SUJETS;94.7
Concretes;concrete;https://ark.frantiq.fr/ark:/26678/pcrttk3hqkx8s7049j925sxn;PACTOLS_SUJETS;94.1
Fourrages;fourrage;https://ark.frantiq.fr/ark:/26678/pcrtctgw299764;PACTOLS_SUJETS;94.1
economic;Economics;https://ark.frantiq.fr/ark:/26678/pcrtUMWShh4AcZ;PACTOLS_SUJETS;94.1
land uses;land use;https://ark.frantiq.fr/ark:/26678/pcrtUu5zfknZ1x;PACTOLS_SUJETS;94.1
machines agricoles;machine agricole;https://ark.frantiq.fr/ark:/26678/pcrtbp5wkgrxb6;PACTOLS_SUJETS;94.1
Comfort;comforts;https://ark.frantiq.fr/ark:/26678/pcrtWe1U0gnsaJ;PACTOLS_SUJETS;93.3
African;Africans;https://ark.frantiq.fr/ark:/26678/pcrt6dOfSUnkXu;PACTOLS_SUJETS;93.3
Openings;opening;https://ark.frantiq.fr/ark:/26678/pcrtx72BOMXZ2d;PACTOLS_SUJETS;93.3
Genetic;genetics;https://ark.frantiq.fr/ark:/26678/pcrtsMXniZP305;PACTOLS_SUJETS;93.3
Maladies;maladie;https://ark.frantiq.fr/ark:/26678/pcrtMY50Z2K4Fh;PACTOLS_SUJETS;93.3
carcass;carcasse;https://ark.frantiq.fr/ark:/26678/pcrtEfcf8rSZvm;PACTOLS_SUJETS;93.3
classes sociales;classe sociale;https://ark.frantiq.fr/ark:/26678/pcrtbgMATQiLX4;PACTOLS_SUJETS;93.3
genetic;genetics;https://ark.frantiq.fr/ark:/26678/pcrtsMXniZP305;PACTOLS_SUJETS;93.3
music annotation;music notation;https://ark.frantiq.fr/ark:/26678/pcrtvF6NR3LjxS;PACTOLS_SUJETS;93.3
terroirs;terroir;https://ark.frantiq.fr/ark:/26678/pcrt10h3IcGtc8;PACTOLS_SUJETS;93.3
Cross-section;cross section;https://ark.frantiq.fr/ark:/26678/crtKGldzd0Oxc;PACTOLS_SUJETS;92.3
Orchad;orchard;https://ark.frantiq.fr/ark:/26678/pcrtNkl2f86Opk;PACTOLS_SUJETS;92.3
Modèles;modèle;https://ark.frantiq.fr/ark:/26678/pcrtikIy5HjYAA;PACTOLS_SUJETS;92.3
Elevage;levage;https://ark.frantiq.fr/ark:/26678/pcrtgBkTk0dR1X;PACTOLS_SUJETS;92.3
modèles;modèle;https://ark.frantiq.fr/ark:/26678/pcrtikIy5HjYAA;PACTOLS_SUJETS;92.3
puzzles;puzzle;https://ark.frantiq.fr/ark:/26678/pcrt36crn23ftx;PACTOLS_SUJETS;92.3
vergers;verger;https://ark.frantiq.fr/ark:/26678/pcrtNkl2f86Opk;PACTOLS_SUJETS;92.3
Independance;indépendance;https://ark.frantiq.fr/ark:/26678/pcrtP2Dd8lnOmB;PACTOLS_SUJETS;91.7
Modelisation;modélisation;https://ark.frantiq.fr/ark:/26678/pcrtUbQwxQM8Q8;PACTOLS_SUJETS;91.7
methodologie;méthodologie;https://ark.frantiq.fr/ark:/26678/pcrtdUvEkSeyqH;PACTOLS_SUJETS;91.7
modelisation;modélisation;https://ark.frantiq.fr/ark:/26678/pcrtUbQwxQM8Q8;PACTOLS_SUJETS;91.7
soils fertility;Soil fertility;http://vocabularies.unesco.org/thesaurus/concept10791;UNESCO_SOIL;96.6
P35 - Fertilité du sol;Fertilité du sol;http://vocabularies.unesco.org/thesaurus/concept10791;UNESCO_SOIL;95.0
EAR soil sciences;Soil sciences;http://vocabularies.unesco.org/thesaurus/concept164;UNESCO_SOIL;95.0
TER sciences du sol;Sciences du sol;http://vocabularies.unesco.org/thesaurus/concept164;UNESCO_SOIL;95.0
